TF,Target
HIF1A,LMF2
HIF1A,BCL11A
HIF1A,BCL11B
HIF1A,BCL2
HIF1A,BCL2L11
HIF1A,BCL6
HIF1A,BHLHE41
HIF1A,BMP6
HIF1A,BNIP2
HIF1A,ERLIN1
HIF1A,RTRAF
HIF1A,IRF2BPL
HIF1A,MRTO4
HIF1A,TBC1D20
HIF1A,MGME1
HIF1A,DERL3
HIF1A,ERLEC1
HIF1A,UQCC2
HIF1A,CA9
HIF1A,RUNX1T1
HIF1A,CCND2
HIF1A,AGAP1
HIF1A,GOLT1B
HIF1A,UTP18
HIF1A,CITED2
HIF1A,CLSTN3
HIF1A,COPZ1
HIF1A,COX4I2
HIF1A,TXLNG
HIF1A,DDIT4
HIF1A,DDX4
HIF1A,DERL1
HIF1A,CEP85
HIF1A,DOT1L
HIF1A,DSCAM
HIF1A,DSCAML1
HIF1A,HBEGF
HIF1A,DUSP7
HIF1A,E2F3
HIF1A,TSKU
HIF1A,EED
HIF1A,EIF4G1
HIF1A,ELOVL6
HIF1A,EML1
HIF1A,EN1
HIF1A,ENO1
HIF1A,ENTPD7
HIF1A,EPB41L4B
HIF1A,EPHB3
HIF1A,ERF
HIF1A,ERO1A
HIF1A,ESRRA
HIF1A,FCHSD2
HIF1A,FGF10
HIF1A,FGF11
HIF1A,FGF17
HIF1A,FGF6
HIF1A,FKBP3
HIF1A,YEATS2
HIF1A,MACO1
HIF1A,C11orf71
HIF1A,TET2
HIF1A,QRICH1
HIF1A,TBC1D8B
HIF1A,SRFBP1
HIF1A,BMT2
HIF1A,KICS2
HIF1A,KLHL35
HIF1A,TMEM132E-DT
HIF1A,SHISA6
HIF1A,G6PC3
HIF1A,GBE1
HIF1A,GCSH
HIF1A,GOLGA4
HIF1A,GPM6B
HIF1A,GRIN2A
HIF1A,GYS1
HIF1A,HIF3A
HIF1A,HMGXB4
HIF1A,HMGA1
HIF1A,HMGN2
HIF1A,HNRNPUL1
HIF1A,HOXA7
HIF1A,PRMT1
HIF1A,HYAL2
HIF1A,IGF2BP1
HIF1A,IGF2BP3
HIF1A,ING3
HIF1A,INSM1
HIF1A,IRF2BP1
HIF1A,ITCH
HIF1A,JADE1
HIF1A,KDM3A
HIF1A,KDM4B
HIF1A,JPH1
HIF1A,KCTD15
HIF1A,EMC1
HIF1A,CLUH
HIF1A,ZBTB47
HIF1A,ATOSB
HIF1A,KLHDC3
HIF1A,KTN1
HIF1A,LDHA
HIF1A,P3H3
HIF1A,LHX5
HIF1A,LIG1
HIF1A,TMEM132E
HIF1A,ZNF827
HIF1A,CREBRF
HIF1A,ZNF800
HIF1A,C17orf58
HIF1A,ZSWIM9
HIF1A,ZNF771
HIF1A,CCDC126
HIF1A,TMEM88
HIF1A,FAM114A1
HIF1A,LRP2BP
HIF1A,LRP8
HIF1A,LRRTM1
HIF1A,LTBP1
HIF1A,MAX
HIF1A,MEA1
HIF1A,MEF2C
HIF1A,TLNRD1
HIF1A,PIK3IP1
HIF1A,ZBTB37
HIF1A,AARSD1
HIF1A,MGLL
HIF1A,MICAL2
HIF1A,MID1IP1
HIF1A,KMT2E
HIF1A,MPL
HIF1A,MYLK
HIF1A,NANS
HIF1A,NAV2
HIF1A,NFIL3
HIF1A,NPR3
HIF1A,NR1D1
HIF1A,NR2F2
HIF1A,NRBF2
HIF1A,NRF1
HIF1A,YBX1
HIF1A,NUP98
HIF1A,NXPH1
HIF1A,PABPC1
HIF1A,PDGFB
HIF1A,PDK3
HIF1A,PDP2
HIF1A,PES1
HIF1A,PGK1
HIF1A,PGM3
HIF1A,PHF12
HIF1A,JADE2
HIF1A,POLA1
HIF1A,POLR3E
HIF1A,PPM1E
HIF1A,PPP1R3C
HIF1A,PPRC1
HIF1A,PPT2
HIF1A,PRDM13
HIF1A,PRDX4
HIF1A,PRKAR2A
HIF1A,PSD
HIF1A,PSME3
HIF1A,PTEN
HIF1A,PTPRF
HIF1A,RAB10
HIF1A,RAB33A
HIF1A,RAMP2
HIF1A,RBM7
HIF1A,RCOR2
HIF1A,RECQL
HIF1A,REV1
HIF1A,RFX5
HIF1A,RGS16
HIF1A,RNF5
HIF1A,RPL22
HIF1A,CNOT9
HIF1A,RUNDC1
HIF1A,RUVBL2
HIF1A,RWDD2A
HIF1A,SCAMP2
HIF1A,SCYL1
HIF1A,SRSF1
HIF1A,SRSF5
HIF1A,SRSF6
HIF1A,ST6GAL1
HIF1A,SLC12A4
HIF1A,SLC12A5
HIF1A,SLC26A10P
HIF1A,SLC37A4
HIF1A,SLC6A1
HIF1A,SNCB
HIF1A,SNX12
HIF1A,SNX5
HIF1A,SORCS3
HIF1A,SOX14
HIF1A,SOX2
HIF1A,SPOP
HIF1A,STC1
HIF1A,TSSK3
HIF1A,STMN1
HIF1A,TEF
HIF1A,TFRC
HIF1A,TIAL1
HIF1A,KLF11
HIF1A,TLL1
HIF1A,CNPY3
HIF1A,TRIM3
HIF1A,TRIM33
HIF1A,TRPC4AP
HIF1A,UBA1
HIF1A,UBXN10
HIF1A,USF2
HIF1A,USP37
HIF1A,VEGFA
HIF1A,XPNPEP1
HIF1A,XRN2
HIF1A,ZBTB10
HIF1A,ZIC2
HIF1A,PATZ1
HIF1A,IKZF2
HIF1A,ZZZ3
