TF,Target
STAT1,AMTN
STAT1,UQCRH
STAT1,USF1
STAT1,VAX1
STAT1,VGF
STAT1,DCAF1
STAT1,VPS41
STAT1,WWOX
STAT1,ZAP70
STAT1,ZMPSTE24
STAT1,VEZF1
STAT1,ZNF189
STAT1,ZRANB2
STAT1,ZSCAN20
STAT1,ZNF385A
STAT1,ZNF471
STAT1,ZNF546
STAT1,ZNF568
STAT1,ZNF569
STAT1,ZNF570
STAT1,ZNF571
STAT1,ZNF582
STAT1,IKZF4
STAT1,AFP
STAT1,APPL1
STAT1,BRCA1
STAT1,ZCCHC24
STAT1,MIR17HG
STAT1,CHD4
STAT1,CLDN5
STAT1,COL16A1
STAT1,BRINP3
STAT1,DDR1
STAT1,DMD
STAT1,DOCK3
STAT1,EGF
STAT1,ELOVL6
STAT1,EN1
STAT1,FBXW11
STAT1,INO80D
STAT1,DIP2B
STAT1,MIR137HG
STAT1,GADD45B
STAT1,GALK2
STAT1,GALR3
STAT1,GNB3
STAT1,GNG4
STAT1,GRIK1
STAT1,GRK5
STAT1,OLFM4
STAT1,ARMC8
STAT1,IGFALS
STAT1,IRF1
STAT1,ARL6IP5
STAT1,RTL9
STAT1,ARL4C
STAT1,FITM1
STAT1,MAG
STAT1,NFKBIZ
STAT1,RBM4B
STAT1,EHBP1
STAT1,NBR2
STAT1,NCOA3
STAT1,NHLH2
STAT1,NLK
STAT1,NRG1
STAT1,PLCB2
STAT1,POMC
STAT1,PPP1R9B
STAT1,RAPH1
STAT1,RHOG
STAT1,RPS27
STAT1,SALL1
STAT1,SCN2B
STAT1,SIN3A
STAT1,SLAMF1
STAT1,SLC26A10P
STAT1,SMARCA1
STAT1,SYT6
STAT1,TBX5
STAT1,USP2
STAT1,VCAM1
STAT1,LYVE1
STAT1,ZNRF1
FOXO1,RBFOX1
FOXO1,ABLIM3
FOXO1,AKT1S1
FOXO1,ANKRD28
FOXO1,AP4M1
FOXO1,APOA2
FOXO1,ARID4A
FOXO1,ASB7
FOXO1,ASXL1
FOXO1,ATF7IP
FOXO1,AXIN2
FOXO1,BCL11B
FOXO1,BDNF
FOXO1,PHF21A
FOXO1,ARFGEF1
FOXO1,BIN1
FOXO1,BMF
FOXO1,BMI1
FOXO1,BUB3
FOXO1,WBP1L
FOXO1,ARK2N
FOXO1,C1QTNF3
FOXO1,FAM110A
FOXO1,WDR46
FOXO1,OARD1
FOXO1,NPVF
FOXO1,CADPS
FOXO1,CBFA2T2
FOXO1,CCND1
FOXO1,CCNG2
FOXO1,CDKN1C
FOXO1,CHCHD7
FOXO1,CHD1
FOXO1,FOXN3
FOXO1,KCNJ5
FOXO1,CLDN2
FOXO1,CNNM3
FOXO1,CRB1
FOXO1,CREM
FOXO1,CRH
FOXO1,CSAD
FOXO1,CSNK1G3
FOXO1,CXXC5
FOXO1,CCN1
FOXO1,DDIT4
FOXO1,DDX17
FOXO1,DEDD
FOXO1,PREX2
FOXO1,WIPI2
FOXO1,SLC10A7
FOXO1,DLX1
FOXO1,DMD
FOXO1,DTNA
FOXO1,DUSP1
FOXO1,EFEMP1
FOXO1,EIF4EBP2
FOXO1,ELAVL2
FOXO1,ELOVL6
FOXO1,EML1
FOXO1,EMP1
FOXO1,EPHB1
FOXO1,EPHB3
FOXO1,ESRRG
FOXO1,ETV1
FOXO1,ETV5
FOXO1,EXT1
FOXO1,EZH1
FOXO1,FGF12
FOXO1,FGF14
FOXO1,FGF9
FOXO1,HMCN1
FOXO1,GPR174
FOXO1,ZNF654
FOXO1,ZMAT4
FOXO1,PRPF38A
FOXO1,PTCHD1
FOXO1,C12orf50
FOXO1,CCDC89
FOXO1,C2orf69
FOXO1,PTCHD4
FOXO1,LINC00173
FOXO1,FOXO1
FOXO1,FOXP2
FOXO1,FST
FOXO1,FSTL1
FOXO1,GATA6
FOXO1,GFRA1
FOXO1,HCAR2
FOXO1,HCAR3
FOXO1,ADGRF1
FOXO1,GPR18
FOXO1,GPR63
FOXO1,GPRC5C
FOXO1,GRB7
FOXO1,GRIK3
FOXO1,GTF2B
FOXO1,H2AZ2
FOXO1,H2AX
FOXO1,H3-3B
FOXO1,HBP1
FOXO1,HESX1
FOXO1,HHEX
FOXO1,HIPK1
FOXO1,HTN1
FOXO1,PFDN6
FOXO1,NSG2
FOXO1,HOXA11
FOXO1,HOXA3
FOXO1,HOXB4
FOXO1,HOXB8
FOXO1,HOXC4
FOXO1,HSPB2
FOXO1,IGSF1
FOXO1,IL25
FOXO1,IL1RAPL1
FOXO1,IMPDH2
FOXO1,INHBA
FOXO1,IRS4
FOXO1,ITPR3
FOXO1,KDM3A
FOXO1,KLHL40
FOXO1,KCNJ15
FOXO1,KCNN1
FOXO1,FAM53B
FOXO1,RTL9
FOXO1,KLF12
FOXO1,KLHDC2
FOXO1,KRT85
FOXO1,LAG3
FOXO1,LASP1
FOXO1,LCP2
FOXO1,LHX1
FOXO1,LHX5
FOXO1,LMO3
FOXO1,LMO4
FOXO1,SZT2
FOXO1,CREBRF
FOXO1,SIAH3
FOXO1,SLC25A34
FOXO1,IER5L
FOXO1,TMEM88
FOXO1,ADGRL2
FOXO1,LRRC1
FOXO1,MCM7
FOXO1,MED8
FOXO1,MXRA8
FOXO1,ATXN7L1
FOXO1,NIM1K
FOXO1,CIMAP1C
FOXO1,MGLL
FOXO1,MITF
FOXO1,KMT2E
FOXO1,NDRG1
FOXO1,NF1
FOXO1,NFIB
FOXO1,NFIX
FOXO1,NFYA
FOXO1,C1orf43
FOXO1,NKX2-2
FOXO1,NMNAT2
FOXO1,NNT
FOXO1,NR2C2
FOXO1,NR4A2
FOXO1,NRG1
FOXO1,NTRK3
FOXO1,TPD52L3
FOXO1,LUC7L3
FOXO1,OLIG3
FOXO1,OPA3
FOXO1,ORC1
FOXO1,OSR1
FOXO1,PALM
FOXO1,PAPPA
FOXO1,PDCD4
FOXO1,PHACTR3
FOXO1,PITX2
FOXO1,PLAG1
FOXO1,PLCB2
FOXO1,PLXDC2
FOXO1,PMCH
FOXO1,POU3F2
FOXO1,POU3F4
FOXO1,PPP1CB
FOXO1,PRDM1
FOXO1,PROX1
FOXO1,PTPRD
FOXO1,PURA
FOXO1,RASGEF1B
FOXO1,TRIM63
FOXO1,RUNX1
FOXO1,SALL3
FOXO1,SCML1
FOXO1,SCRN3
FOXO1,SCUBE3
FOXO1,SDK2
FOXO1,TSPYL2
FOXO1,SEMA4G
FOXO1,SEMA6D
FOXO1,SESN3
FOXO1,SREK1
FOXO1,SH3BP5
FOXO1,SH3GL3
FOXO1,SLC25A28
FOXO1,SLC26A2
FOXO1,SLC26A7
FOXO1,SLC38A2
FOXO1,SLITRK5
FOXO1,SLITRK6
FOXO1,SMAD1
FOXO1,SNCAIP
FOXO1,SOX2
FOXO1,SPAG9
FOXO1,SSBP3
FOXO1,STOML3
FOXO1,SYT16
FOXO1,SYT6
FOXO1,CSRNP3
FOXO1,TAS2R39
FOXO1,TAFAZZIN
FOXO1,TBC1D17
FOXO1,TBCC
FOXO1,TBX4
FOXO1,ELOA2
FOXO1,TDRD5
FOXO1,THRA
FOXO1,CRTC2
FOXO1,TRIM8
FOXO1,TSC1
FOXO1,UBE2H
FOXO1,UBL3
FOXO1,NRN1L
FOXO1,USP3
FOXO1,KDM6A
FOXO1,WBP4
FOXO1,WFIKKN2
FOXO1,NSD3
FOXO1,LINS1
FOXO1,YTHDF3
FOXO1,OTUD7B
FOXO1,PTGR3
FOXO1,ZEB2
FOXO1,ZFYVE1
FOXO1,ZBTB16
FOXO1,ZBTB18
FOXO1,ZBTB22
FOXO1,ZNF366
FOXO1,ZNF385B
FOXO1,IKZF2
CREB1,ABCE1
CREB1,ADCY8
CREB1,ADNP
CREB1,AFF4
CREB1,AHI1
CREB1,ALS2
CREB1,ANAPC10
CREB1,RIPK4
CREB1,ATG5
CREB1,APPBP2
CREB1,AREG
CREB1,ARL4D
CREB1,ARIH1
CREB1,ATL2
CREB1,ATF3
CREB1,ATP6V0C
CREB1,AVPI1
CREB1,ABHD16A
CREB1,CHMP2A
CREB1,BNIP3L
CREB1,BRAF
CREB1,BABAM2
CREB1,CFAP68
CREB1,NUBPL
CREB1,IRF2BPL
CREB1,GLOD4
CREB1,TMEM59L
CREB1,C1orf35
CREB1,TBC1D32
CREB1,CALM2
CREB1,CAMK2D
CREB1,CBX8
CREB1,KYAT1
CREB1,CCNA2
CREB1,CD2AP
CREB1,CDC42
